Slug;Code;Title;Series;Type;UUID;Locale;Lessons;Quiz;KC;Skills
safe-electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32;ES-06;Safe Electrical Work Practices And The 2024 NFPA 70E For Electrical Workers;ES;SKILLS;;Y;14;;;SK-066, SK-063, SK-065, SK-083
fall-protection-in-industrial-and-construction-environments-scorm12-HtvRelsq;FP-00;Fall Protection In Industrial And Construction Environments;FP;SKILLS;;Y;6;;;SK-074, SK-081
fall-protection-in-industrial-and-construction-environments-edges-openings-and-guarding-scorm12-ulhh_oba;FP-01;Fall Protection In Industrial And Construction Environments: Edges, Openings And Guarding;FP;SKILLS;;Y;1;;;SK-074, SK-023
preventing-slips-trips-and-falls-scorm12-m2jqe-uu;FP-02;Preventing Slips, Trips and Falls;FP;SKILLS;;Y;1;;;SK-083, SK-099
safely-accessing-a-scaffold-scorm12-znfwpgv9;FP-03;Safely Accessing a Scaffold;FP;SKILLS;;Y;1;;;SK-077, SK-075, SK-076, SK-083
supported-scaffolding-safety-in-industrial-and-construction-environments-scorm12-sy389sg8;FP-04;Supported Scaffolding Safety in Industrial and Construction Environments;FP;SKILLS;;Y;8;;;SK-077, SK-083
0fed7f77-3b20-43df-90c2-6c28b3ca4a5f;FP-05;Supported Scaffolds and OSHA Regulations;FP;SKILLS;Y;Y;1;;;SK-081, SK-077, SK-054, SK-066, SK-083
using-portable-and-fixed-ladders-scorm12-du3gq40l;FP-06;Using Portable and Fixed Ladders;FP;SKILLS;;Y;1;;;SK-075, SK-054, SK-081, SK-083
working-safely-on-scaffolding-scorm12-0txrzw9l;FP-07;Working Safely on Scaffolding;FP;SKILLS;;Y;1;;;SK-077, SK-054, SK-076, SK-079, SK-081
roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep;FTM-00;Roles and Responsibilities of a Foreman;FTM;SKILLS;;Y;2;;;SK-018, SK-011, SK-016, SK-030, SK-079
hazard-communication-scorm12-hced66vt;HAZCOM-00;Hazard Communication;HAZCOM;SKILLS;;Y;10;;;SK-090, SK-099, SK-081, SK-083
information-found-on-container-labels-scorm12-alpiibee;HAZCOM-01;Information Found on Container Labels;HAZCOM;SKILLS;;Y;1;;;SK-089, SK-083
safety-data-sheets-scorm12-ax_uklcf;HAZCOM-02;Safety Data Sheets;HAZCOM;SKILLS;;Y;1;;;SK-092, SK-083, SK-013, SK-081, SK-088
the-written-hazard-communication-plan-scorm12-ftnpzu8g;HAZCOM-03;The Written Hazard Communication Plan;HAZCOM;SKILLS;;Y;1;;;SK-090, SK-099, SK-024, SK-083, SK-089
types-of-chemical-hazards-scorm12-kwgkls-t;HAZCOM-04;Types Of Chemical Hazards;HAZCOM;SKILLS;;Y;1;;;SK-088, SK-083
avoiding-common-time-wasters-introduction-to-field-leadership-section-1-scorm12-_pz4ofaz;IFL-00;Avoiding Common Time Wasters- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-050
building-and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd;IFL-01;Building and Maintaining Team Morale- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-034, SK-016, SK-023
chapter-1-job-plan-theory-scorm12-lhuuftlp;IFL-02;Chapter 1 Job Plan Theory;IFL;SKILLS;;Y;1;;Y;SK-117, SK-011, SK-013, SK-016, SK-019
chapter-10-avoiding-common-time-wasters-scorm12-rakckav4;IFL-03;Chapter 10 Avoiding Common Time Wasters;IFL;SKILLS;;Y;1;;Y;SK-050, SK-011, SK-016
chapter-12-using-tool-and-technology-scorm12-jzhv6nfe;IFL-04;Chapter 12 Using Tool and Technology;IFL;SKILLS;;Y;1;;;SK-011, SK-016, SK-030, SK-041, SK-083
chapter-2-jobsite-efficiency-scorm12-gtwzkr7z;IFL-05;Chapter 2 - Jobsite Efficiency;IFL;SKILLS;;Y;1;;Y;SK-028, SK-041, SK-050
chapter-3-coordinating-with-other-trades-scorm12-e-hl3uzr;IFL-06;Chapter 3 - Coordinating with Other Trades-;IFL;SKILLS;;Y;1;;;SK-028, SK-030, SK-099
chapter-3-new-manager-101-scorm12-yduvl08s;IFL-07;Chapter 3 - New Manager 101;IFL;SKILLS;;Y;1;;Y;SK-011, SK-034, SK-037, SK-099, SK-112
chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox;IFL-08;Chapter 3 Introduction to Project Planning and Execution;IFL;SKILLS;;Y;1;;Y;SK-030, SK-028, SK-029, SK-011, SK-016
chapter-4-building-an-effective-team-scorm12-lurfzpkv;IFL-09;Chapter 4 - Building an Effective Team;IFL;SKILLS;;Y;2;;Y;SK-011, SK-008, SK-009, SK-014, SK-021
chapter-4-document-management-scorm12-tyrhbk9m;IFL-10;Chapter 4 - Document Management;IFL;SKILLS;;Y;1;;Y;SK-053, SK-018, SK-052, SK-117
chapter-4-introduction-to-safety-management-scorm12-jkruifsj;IFL-11;Chapter 4 Introduction to Safety Management;IFL;SKILLS;;Y;1;;Y;SK-083, SK-011, SK-005, SK-016, SK-054
chapter-5-introduction-to-quality-control-scorm12-hzjpxur3;IFL-12;Chapter 5 - Introduction to Quality Control;IFL;SKILLS;;Y;1;;;SK-054, SK-011, SK-008, SK-009, SK-016
chapter-5-manpower-projection-scorm12-nxcglu2o;IFL-13;Chapter 5 - Manpower Projection;IFL;SKILLS;;Y;1;;Y;SK-032, SK-018, SK-028, SK-030
chapter-7-introduction-to-documentation-and-reporting-scorm12-kjbidn5r;IFL-14;Chapter 7 Introduction to Documentation and Reporting;IFL;SKILLS;;Y;1;;Y;SK-052, SK-011, SK-008, SK-009, SK-013
chapter-9-time-management-scorm12-gifb0r3z;IFL-15;Chapter 9 Time Management;IFL;SKILLS;;Y;1;;Y;SK-011, SK-008, SK-009, SK-016, SK-027
coordinating-with-other-trades-introduction-to-field-leadership-section-2-scorm12-vclfcl72;IFL-16;Coordinating with Other Trades- Introduction to Field Leadership Section 2;IFL;SKILLS;;Y;1;;;SK-011, SK-016, SK-028, SK-030, SK-099
document-management-introduction-to-field-leadership-section-2-scorm12-su5ewyse;IFL-17;Document Management- Introduction to Field Leadership Section 2;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-053, SK-018, SK-052
employee-assistance-program-eap-and-mental-health-awareness-field-leadership-4-scorm12-tx9ouuz5;IFL-18;Employee Assistance Program (EAP) and Mental Health Awareness- field leadership -4;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-021, SK-101, SK-112
fmla-introduction-to-field-leadership-part-4-policy-scorm12-wvlpmgbx;IFL-19;FMLA Introduction to Field Leadership Part - 4 Policy;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-025, SK-093
harassment-discrimination-and-retaliation-prevention-introduction-to-field-leadership-part-4-scorm12-tkuwfuoz;IFL-20;Harassment, Discrimination, and Retaliation Prevention -Introduction to Field Leadership Part - 4;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-005, SK-052, SK-066
introduction-to-documentation-and-reporting-introduction-to-field-leadership-section-1-scorm12-5pb1ub8x;IFL-21;Introduction to Documentation and Reporting- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-052, SK-016, SK-008, SK-009
introduction-to-effective-communication-introduction-to-field-leadership-section-1-scorm12-0vyt6ox6;IFL-22;Introduction to Effective Communication- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-099, SK-100, SK-034
introduction-to-field-leadership-part-4-policy-scorm12-vyeh7q-b;IFL-23;Introduction to Field Leadership Part - 4 Policy;IFL;SKILLS;;Y;5;;Y;SK-011, SK-016, SK-008, SK-009, SK-014
introduction-to-field-leadership-part-2-anatomy-of-a-project-scorm12-vus2qvus;IFL-24;Introduction to Field Leadership Part 2 - Anatomy of a Project;IFL;SKILLS;;Y;7;;Y;SK-011, SK-016, SK-013, SK-019, SK-028
introduction-to-field-leadership-section-1-skills-traits-responsibilities-scorm12-pjqoieo4;IFL-25;Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities;IFL;SKILLS;;Y;17;;Y;SK-011, SK-016, SK-018, SK-028, SK-030
introduction-to-project-planning-and-execution-introduction-to-field-leadership-section-1-scorm12-gsezq1ll;IFL-26;Introduction to Project Planning and Execution- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-030, SK-028, SK-016, SK-029
introduction-to-quality-control-introduction-to-field-leadership-section-1-scorm12-gxmgfvvz;IFL-27;Introduction to Quality Control- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;;SK-011, SK-016, SK-054, SK-023
introduction-to-safety-management-introduction-to-field-leadership-section-1-scorm12-xqqzeydb;IFL-28;Introduction to Safety Management- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-083, SK-005, SK-061
introduction-to-team-management-introduction-to-field-leadership-section-1-scorm12-ymggz-66;IFL-29;Introduction to Team Management- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-033, SK-018, SK-036
introduction-introduction-to-field-leadership-section-1-skills-traits-responsibilities-scorm12-k-mbpeuu;IFL-30;Introduction- Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities;IFL;SKILLS;;Y;2;;Y;SK-011, SK-016, SK-018, SK-028, SK-030
job-closeout-introduction-to-field-leadership-section-2-scorm12-n6l4pbci;IFL-31;Job Closeout- Introduction to Field Leadership Section 2;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-112
