SOP ID,SOP Title,Phase,Roles (RACI),Primary JD,Related SOPs,Formerly
9.4.670,9.4.670 Manage Vendor Closeout,4 – Construction,Purchasing; Project Manager; Accounting; Branch Manager,,9.4.610; 9.4.615; 9.4.660; 9.4.665,Formerly 9.41.670
9.4.675,9.4.675 Conduct Daily Huddles,4 – Construction,Field Supervisor; Foremen; Project Manager; Site Administrator,,9.4.165; 9.4.335; 9.4.560,Formerly 9.41.675
9.4.680,9.4.680 Conduct Weekly Foreman Meetings,4 – Construction,PM; Field Supervisor; Foremen; Site Administrator,,9.4.150; 9.4.335; 9.4.675,Formerly 9.41.680
9.4.690,9.4.690 Track Manpower Utilization,4 – Construction,Field Supervisor; PM; Site Administrator; Branch Manager,,9.4.560; 9.4.595; 9.4.690,Formerly 9.41.690
9.4.695,9.4.695 Track Production Quantities,4 – Construction,Field Supervisor; PM; Foremen; Site Administrator,,9.4.690; 9.4.400; 9.4.595,Formerly 9.41.695
9.4.700,9.4.700 Track Equipment Utilization,4 – Construction,Field Supervisor; Equipment Manager; PM; Site Administrator,,9.4.565; 9.4.595; 9.4.190,Formerly 9.41.700
9.4.705,9.4.705 Manage Work Packaging,4 – Construction,PM; Field Supervisor; Foremen; Site Administrator,,9.2.070; 9.4.335; 9.4.695,Formerly 9.41.705
9.4.710,9.4.710 Manage Workface Planning,4 – Construction,PM; Field Supervisor; Foremen; Site Administrator,,9.4.705; 9.4.335; 9.4.675,Formerly 9.41.710
9.4.715,9.4.715 Manage Field Coordination,4 – Construction,PM; Field Supervisor; Subcontractors; Site Administrator,,9.4.150; 9.4.680; 9.4.705,Formerly 9.41.715
9.4.720,9.4.720 Conduct Productivity Analysis,4 – Construction,PM; Field Supervisor; Accounting; Site Administrator,,9.4.690; 9.4.695; 9.4.400,Formerly 9.41.720
9.4.725,9.4.725 Resolve Field Problems,4 – Construction,Field Supervisor; PM; Quality Inspector; Site Administrator,,9.4.205; 9.4.715; 9.4.535,Formerly 9.41.725
9.4.735,9.4.735 Perform Field Quality Verifications,4 – Construction,Field Supervisor; Quality Inspector; Project Manager; Site Administrator,,9.4.525; 9.4.535; 9.4.720,Formerly 9.41.735
9.4.755,9.4.755 Implement Field Productivity Improvements,4 – Construction,Project Manager; Field Supervisor; Foremen; Site Administrator,,9.4.720; 9.4.695; 9.4.585,Formerly 9.41.755
9.5.010,9.5.015 Conduct Commissioning Meetings,5 – Testing & Commissioning,PM; Commissioning Agent; Subcontractors; Quality Inspector,,9.4.060,Formerly 9.41.180
9.6.005,9.6.005 Prepare for Turnover (Field Perspective),6 – Project Closeout,Field Supervisor; Foremen; Project Manager; Quality Inspector,,9.4.545; 9.6.010; 9.4.555,Formerly 9.41.760
9.6.010,9.6.010 Conduct Closeout Meetings,6 – Project Closeout,PM; Field Supervisor; Subcontractors; Client/Owner,,9.4.060; 9.5.010,Formerly 9.41.185
9.6.015,9.6.010 Manage Project Turnover Documentation,6 – Project Closeout,PM; Site Administrator; Branch Manager,,9.4.545; 9.5.550; 9.4.265,Formerly 9.41.555
9.6.020,9.6.020 Manage Punch Lists,6 – Project Closeout,PM; Field Supervisor; Subcontractors; Client/Owner,,9.4.175; 9.5.010; 9.6.010,Formerly 9.41.245
9.6.020,9.6.020 Manage Punch List Closeout,6 – Project Closeout,Project Manager; Field Supervisor; Quality Inspector; Subcontractors,,9.4.545; 9.6.005; 9.6.010,Formerly 9.41.770
9.6.030,9.6.030 Manage As-Built Drawings,6 – Project Closeout,PM; Field Supervisor; Subcontractors; Site Administrator,,9.4.220; 9.6.020,Formerly 9.41.250
9.6.030,9.6.030 Submit Warranties,6 – Project Closeout,Project Manager; Site Administrator; Subcontractors; Vendors,,9.6.020; 9.4.555; 9.4.260,Formerly 9.41.775
9.6.040,9.6.040 Manage O&M Manuals,6 – Project Closeout,PM; Subcontractors; Site Administrator,,9.6.030; 9.6.050,Formerly 9.41.255
9.6.040,9.6.040 Submit O&M Manuals,6 – Project Closeout,Project Manager; Site Administrator; Vendors; Subcontractors,,9.6.030; 9.6.010; 9.5.550,Formerly 9.41.780
9.6.050,9.6.050 Manage Warranties,6 – Project Closeout,PM; Subcontractors; Site Administrator,,9.6.040; 9.6.060,Formerly 9.41.260
9.6.050,9.6.050 Provide Owner Training,6 – Project Closeout,Project Manager; Vendors; Subcontractors; Site Administrator; Owner Rep,,9.5.550; 9.6.030; 9.6.040,Formerly 9.41.785
9.6.060,9.6.060 Manage Closeout Documentation,6 – Project Closeout,PM; Site Administrator; Subcontractors; Owner/Client,,9.6.030; 9.6.040; 9.6.050,Formerly 9.41.265
9.6.060,9.6.060 Archive Project Documentation,6 – Project Closeout,Project Manager; Site Administrator; Branch Manager,,9.6.030; 9.6.040; 9.6.050,Formerly 9.41.790
