course_id,filename,title,skill_level_set,category,proficiency_level,series_name,series_order
6-leadership-law-1-cover-and-move-scorm12-8ifufrcg,chapter-6-leadership-law-1-cover-and-move-scorm12-8ifufrcg.zip,Chapter 6 - Leadership Law 1: Cover and Move,Leadership & Field Management,Leadership & Management,Basic,Chapter 6 - Leadership Law 1: Cover and Move,6
8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b,chapter-8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b.zip,Chapter 8 - Leadership Law 3: Prioritize and Execute,Leadership & Field Management,Leadership & Management,Basic,Chapter 8 - Leadership Law 3: Prioritize and Execute,8
9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i,chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i.zip,Chapter 9 - Leadership Law 4: Decentralize Command,Leadership & Field Management,Leadership & Management,Basic,Chapter 9 - Leadership Law 4: Decentralize Command,9
with-other-trades-introduction-to-field-leadership-section-2-scorm12-vclfcl72,coordinating-with-other-trades-introduction-to-field-leadership-section-2-scorm12-vclfcl72.zip,Coordinating with Other Trades- Introduction to Field Leadership Section 2,Leadership & Field Management,Leadership & Management,Awareness,Coordinating with Other Trades- Introduction to Field Leadership,2
2470-4cfd-a8c8-83618f5534df,9e098bfe-2470-4cfd-a8c8-83618f5534df.zip,Copy of Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities,Leadership & Field Management,Leadership & Management,Awareness,,
of-introduction-to-field-leadership-section-3-leadership-scorm12-ehy1h9md,copy-of-introduction-to-field-leadership-section-3-leadership-scorm12-ehy1h9md.zip,Copy of Introduction to Field Leadership Section 3 - Leadership,Leadership & Field Management,Leadership & Management,Awareness,Copy of Introduction to Field Leadership,3
4606-43f5-a757-6fc60095cab4,92ea63ef-4606-43f5-a757-6fc60095cab4.zip,Critical Leadership Training,Leadership & Field Management,Leadership & Management,Basic,,
management-introduction-to-field-leadership-section-2-scorm12-su5ewyse,document-management-introduction-to-field-leadership-section-2-scorm12-su5ewyse.zip,Document Management- Introduction to Field Leadership Section 2,Leadership & Field Management,Leadership & Management,Awareness,Document Management- Introduction to Field Leadership,2
assistance-program-eap-and-mental-health-awareness-field-leadership-4-scorm12-tx9ouuz5,employee-assistance-program-eap-and-mental-health-awareness-field-leadership-4-scorm12-tx9ouuz5.zip,Employee Assistance Program (EAP) and Mental Health Awareness- field leadership -4,Leadership & Field Management,Leadership & Management,Awareness,,
introduction-to-field-leadership-part-4-policy-scorm12-wvlpmgbx,fmla-introduction-to-field-leadership-part-4-policy-scorm12-wvlpmgbx.zip,FMLA Introduction to Field Leadership Part - 4 Policy,Leadership & Field Management,Leadership & Management,Awareness,,
discrimination-and-retaliation-prevention-introduction-to-field-leadership-part-4-scorm12-tkuwfuoz,harassment-discrimination-and-retaliation-prevention-introduction-to-field-leadership-part-4-scorm12-tkuwfuoz.zip,"Harassment, Discrimination, and Retaliation Prevention -Introduction to Field Leadership Part - 4",Leadership & Field Management,Leadership & Management,Awareness,,
self-motivation-scorm12-npmiqa6h,increasing-self-motivation-scorm12-npmiqa6h.zip,Increasing Self-Motivation,Leadership & Field Management,Leadership & Management,Basic,,
your-self-motivation-scorm12-s0eqm439,increasing-your-self-motivation-scorm12-s0eqm439.zip,Increasing Your Self-Motivation,Leadership & Field Management,Leadership & Management,Basic,,
to-documentation-and-reporting-introduction-to-field-leadership-section-1-scorm12-5pb1ub8x,introduction-to-documentation-and-reporting-introduction-to-field-leadership-section-1-scorm12-5pb1ub8x.zip,Introduction to Documentation and Reporting- Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
to-effective-communication-introduction-to-field-leadership-section-1-scorm12-0vyt6ox6,introduction-to-effective-communication-introduction-to-field-leadership-section-1-scorm12-0vyt6ox6.zip,Introduction to Effective Communication- Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
to-field-leadership-part-4-policy-scorm12-vyeh7q-b,introduction-to-field-leadership-part-4-policy-scorm12-vyeh7q-b.zip,Introduction to Field Leadership Part - 4 Policy,Leadership & Field Management,Leadership & Management,Awareness,,
6384-46be-8cf3-eccf3325481d,13d9715d-6384-46be-8cf3-eccf3325481d.zip,Introduction to Field Leadership Part 2 - Anatomy of a Project,Leadership & Field Management,Leadership & Management,Awareness,,
to-field-leadership-section-1-skills-traits-responsibilities-scorm12-pjqoieo4,introduction-to-field-leadership-section-1-skills-traits-responsibilities-scorm12-pjqoieo4.zip,Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities,Leadership & Field Management,Leadership & Management,Awareness,,
to-project-planning-and-execution-introduction-to-field-leadership-section-1-scorm12-gsezq1ll,introduction-to-project-planning-and-execution-introduction-to-field-leadership-section-1-scorm12-gsezq1ll.zip,Introduction to Project Planning and Execution- Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
to-quality-control-introduction-to-field-leadership-section-1-scorm12-gxmgfvvz,introduction-to-quality-control-introduction-to-field-leadership-section-1-scorm12-gxmgfvvz.zip,Introduction to Quality Control- Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
to-team-management-introduction-to-field-leadership-section-1-scorm12-ymggz-66,introduction-to-team-management-introduction-to-field-leadership-section-1-scorm12-ymggz-66.zip,Introduction to Team Management- Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
introduction-to-field-leadership-section-1-skills-traits-responsibilities-scorm12-k-mbpeuu,introduction-introduction-to-field-leadership-section-1-skills-traits-responsibilities-scorm12-k-mbpeuu.zip,Introduction- Introduction to Field Leadership Section - 1 Skills Traits & Responsibilities,Leadership & Field Management,Leadership & Management,Awareness,,
closeout-introduction-to-field-leadership-section-2-scorm12-n6l4pbci,job-closeout-introduction-to-field-leadership-section-2-scorm12-n6l4pbci.zip,Job Closeout- Introduction to Field Leadership Section 2,Leadership & Field Management,Leadership & Management,Awareness,Job Closeout- Introduction to Field Leadership,2
plan-theory-introduction-to-field-leadership-section-2-scorm12-dckui4j2,job-plan-theory-introduction-to-field-leadership-section-2-scorm12-dckui4j2.zip,Job Plan Theory - Introduction to Field Leadership Section 2,Leadership & Field Management,Leadership & Management,Awareness,Job Plan Theory - Introduction to Field Leadership,2
efficiency-introduction-to-field-leadership-section-2-scorm12--oojrobn,jobsite-efficiency-introduction-to-field-leadership-section-2-scorm12--oojrobn.zip,Jobsite Efficiency Introduction to Field Leadership Section 2,Leadership & Field Management,Leadership & Management,Awareness,Jobsite Efficiency Introduction to Field Leadership,2
essentials-introduction-to-field-leadership-section-3-scorm12-bzr6yskm,leadership-essentials-introduction-to-field-leadership-section-3-scorm12-bzr6yskm.zip,Leadership Essentials- Introduction to Field Leadership Section 3,Leadership & Field Management,Leadership & Management,Awareness,Leadership Essentials- Introduction to Field Leadership,3
law-2-keep-it-simple-scorm12-dsimqrvx,leadership-law-2-keep-it-simple-scorm12-dsimqrvx.zip,Leadership Law 2: Keep it Simple,Leadership & Field Management,Leadership & Management,Basic,,
553b-4e66-96bc-faa72589fe5d,3f5b3717-553b-4e66-96bc-faa72589fe5d.zip,Managing Sub-contractors,Leadership & Field Management,Leadership & Management,Basic,,
projection-introduction-to-field-leadership-section-2-scorm12-9-7cbil_,manpower-projection-introduction-to-field-leadership-section-2-scorm12-9-7cbil_.zip,Manpower Projection - Introduction to Field Leadership Section 2 -,Leadership & Field Management,Leadership & Management,Awareness,Manpower Projection - Introduction to Field Leadership,2
your-team-scorm12-c3gfnv1x,motivating-your-team-scorm12-c3gfnv1x.zip,Motivating Your Team,Leadership & Field Management,Leadership & Management,Basic,,
e80d-4659-bedc-532cd6a7838e,2a3202a4-e80d-4659-bedc-532cd6a7838e.zip,"Project Structure, Delegation, and Team Development",Leadership & Field Management,Leadership & Management,Basic,,
and-responsibilities-of-a-foreman-scorm12-fuwrpeep,roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep.zip,Roles and Responsibilities of a Foreman,Leadership & Field Management,Leadership & Management,Basic,,
and-responsibilties-of-a-foreman-introduction-to-field-leadership-section-1-scorm12-j7alnrme,roles-and-responsibilties-of-a-foreman-introduction-to-field-leadership-section-1-scorm12-j7alnrme.zip,Roles and Responsibilties of a Foreman Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
