Id,Name,CourseCatalogId,IsOurs
71e1b19e-f5e3-4725-a740-542c00eb373b,cost codes,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d4f0d121-bc0a-4b86-a536-02ea3aeecfb9,cost control,b1670146-674a-4730-9e9d-d7d29ba52385,YES
abfd0475-bc69-43a6-afd2-dc6c796ea4a1,Counseling,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ec5da20e-8891-440d-8556-dfbcb4417884,Counseling,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
7516aeb9-9104-480f-97b0-41a370121c46,counseling form,b1670146-674a-4730-9e9d-d7d29ba52385,YES
9f696efb-ce0c-4ff7-8533-9c8747bad92c,cpr,b1670146-674a-4730-9e9d-d7d29ba52385,YES
47deee71-83ab-4e19-bf8f-8716c9cdae96,Culture,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
47d90539-b685-4195-8acd-d4945ed320d4,Culture,b1670146-674a-4730-9e9d-d7d29ba52385,YES
705a253c-6122-4b2b-8fed-ffc863719a15,Daily Reports,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
237e9f6f-1928-4e34-875b-a127baf52f00,data collection,b1670146-674a-4730-9e9d-d7d29ba52385,YES
9d3e4a7b-953d-490a-b498-00a092faa935,Data Entry,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
cea63bd9-ef24-4dfb-b13e-69010ab6e4c5,de-escalation,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ab131f04-e975-49b1-860f-571b07b1a9d5,Decision-Making,b1670146-674a-4730-9e9d-d7d29ba52385,YES
5ecdd8ec-a2fc-42a3-aff9-69bcb145743d,decisions,b1670146-674a-4730-9e9d-d7d29ba52385,YES
3835fbd9-b0f8-4737-8d0e-ecc9deb1aac8,Decisions,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
bce1a436-102d-42fc-b801-d32a3435d41a,Defensiveness,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d781a5a8-b66d-4f74-933d-b0cdde5e9efb,Delegation,b1670146-674a-4730-9e9d-d7d29ba52385,YES
aab29325-dd30-4280-a3aa-9fae686faa05,delivery,b1670146-674a-4730-9e9d-d7d29ba52385,YES
bcfb2bba-2e16-4670-8527-9d7a6847c72e,Development,b1670146-674a-4730-9e9d-d7d29ba52385,YES
efd8118d-9f47-4a26-aece-2aa598b65308,diagnostics,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ddc38e63-83c6-4b3e-b51e-cf6c40d226be,difficult,b1670146-674a-4730-9e9d-d7d29ba52385,YES
25e29c1b-465e-452f-9f46-84e6b6ee58af,Discipline,b1670146-674a-4730-9e9d-d7d29ba52385,YES
27d47eaa-cda2-4ef5-a3cb-c8c800b7a79a,dispute,b1670146-674a-4730-9e9d-d7d29ba52385,YES
34f49f50-9f86-461e-979d-61eb6f0dceb7,Distribution,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
af911c1d-1014-486b-891b-a997abb9d777,Document Control,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
0928cfcc-7c1d-414a-88b9-e394638ac45c,Document Control,b1670146-674a-4730-9e9d-d7d29ba52385,YES
3634e8bd-2728-4871-b57e-7a4a70983dc2,Documentation,b1670146-674a-4730-9e9d-d7d29ba52385,YES
1e138812-ba44-4a51-a74d-ef9f53ba3bab,Documentation,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
6f785956-a312-4b02-b255-0125cd837ea6,documentation & compliance,b1670146-674a-4730-9e9d-d7d29ba52385,YES
1b909c18-f79d-481b-ba94-d7387646977c,Documenting,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
bf6aea2f-a1e4-4595-922b-f429237c7394,Drawings,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
692cee19-daf6-4f99-acd4-57831eb574c4,E-mail,b1670146-674a-4730-9e9d-d7d29ba52385,YES
151bbb86-46f3-430a-baab-e5c00be88c03,E-Mail,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
34ac193d-572a-465b-938c-c4a0e6790d77,edges,b1670146-674a-4730-9e9d-d7d29ba52385,YES
845cbfe3-3d71-4833-ad26-2c154381539d,effective teams,b1670146-674a-4730-9e9d-d7d29ba52385,YES
0bd63f63-935b-4d2f-a152-9e97fab0a3b6,Efficiency,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d78f9a3f-cd88-485e-ae1b-019b2133bb76,egress,b1670146-674a-4730-9e9d-d7d29ba52385,YES
9227b247-cd64-47e2-bf18-07d69f244f52,electrical hazard,b1670146-674a-4730-9e9d-d7d29ba52385,YES
7dcc07a3-0d8c-48ad-ba67-3dfe77e8271b,electrical safety,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d51ccc85-9e81-47bd-96ce-5df6fe4e43b1,Eliminate Waste,b1670146-674a-4730-9e9d-d7d29ba52385,YES
5218d49a-f1b8-4a57-8614-81cc93f35eec,Emotional Control,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
eb7a116c-05a7-44fb-8d8f-1f1f7ad3b087,Emotional Intelligence,d3c56e4d-aa58-4581-a523-1c39f0d62619,NO
a0bca915-631e-442b-9ce5-53b272fc49d1,Emotional Intelligence,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
ed9b0de0-2acf-4e80-b412-ed24c616035b,Emotional Intelligence,b1670146-674a-4730-9e9d-d7d29ba52385,YES
8d444266-ea82-43f8-9c49-6110b8793dec,Emotional Management,b1670146-674a-4730-9e9d-d7d29ba52385,YES
dfe61afd-6fb3-4b91-a0ba-91e47f915961,Emotional Regulation,b1670146-674a-4730-9e9d-d7d29ba52385,YES
ca4ccfcb-d075-49f0-8bca-24ed5a891d24,Emotional Understanding,b1670146-674a-4730-9e9d-d7d29ba52385,YES
468d6110-addb-4379-bf29-2f43c6d89029,Empathy,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
7fddb519-60ee-4dfa-b6c6-ccab92480736,Empathy,b1670146-674a-4730-9e9d-d7d29ba52385,YES
0f6071cd-9aa2-400e-b1d5-5a086f342469,Employee Performance,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
d262907f-4206-4f66-bff1-22701615f9e4,employee rights,b1670146-674a-4730-9e9d-d7d29ba52385,YES
087e1d8f-7f8c-40f2-a63d-687d3acf97ec,Empowerment,b1670146-674a-4730-9e9d-d7d29ba52385,YES
fb6ca731-6af2-47a0-8885-58b2dea7d225,Energize,b1670146-674a-4730-9e9d-d7d29ba52385,YES
b6127b20-7f64-4903-b608-574bd7ce4907,Energized Work,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
fcfd93fa-e38c-4878-a335-6d3bbffed817,energized work,b1670146-674a-4730-9e9d-d7d29ba52385,YES
9cd804f1-b2e5-476b-ac0a-1b6d09d6b7b6,energy control,b1670146-674a-4730-9e9d-d7d29ba52385,YES
b440b1f2-e6f7-411f-a59f-24368aebf547,Engagement,b1670146-674a-4730-9e9d-d7d29ba52385,YES
c06c6ae9-a1cf-4540-b960-3605e01000aa,engulfment,b1670146-674a-4730-9e9d-d7d29ba52385,YES
7510894d-90bb-4e53-b8a8-cdf36fb20538,entrant,b1670146-674a-4730-9e9d-d7d29ba52385,YES
6f42e9b0-df74-42a8-afb0-149e934c3e04,entrapment,b1670146-674a-4730-9e9d-d7d29ba52385,YES
39bf7069-32b7-4f47-9aab-5e2498106f4e,entry,b1670146-674a-4730-9e9d-d7d29ba52385,YES
8b0135ad-0bbc-4058-ad3c-d469a828e7e5,entry permit,b1670146-674a-4730-9e9d-d7d29ba52385,YES
5ac7d206-3181-4435-b35a-e79c5dce4689,entry restriction,b1670146-674a-4730-9e9d-d7d29ba52385,YES
a187cbad-a806-40a9-b984-c0964ed80755,equipment,b1670146-674a-4730-9e9d-d7d29ba52385,YES
0bf4d770-7160-40f8-88b3-0fe95dce0129,Escalation,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
d3afe01a-547a-4d77-8ef4-3da1f5e410a2,escalation,b1670146-674a-4730-9e9d-d7d29ba52385,YES
df955554-8ad7-4df3-b1e0-747ae5839a4d,Estimating,b1670146-674a-4730-9e9d-d7d29ba52385,YES
a286befa-ce4f-466c-9edb-f29fc85e9289,Estimating,070e3f2e-79cc-43ff-b0bb-1952a69cfc08,NO
2d0e3e3a-d5c3-4340-9709-b68076fab9a4,Ethics,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
32969580-c4e7-45fd-80f4-9db53360b942,evaluation process,b1670146-674a-4730-9e9d-d7d29ba52385,YES
5d7382ff-4078-4cb3-908d-298085f4d076,evaluations,b1670146-674a-4730-9e9d-d7d29ba52385,YES
b2f32265-5210-4c6f-8445-e9cc9b9d583d,examples,b1670146-674a-4730-9e9d-d7d29ba52385,YES
221b5cfc-3bee-405c-808f-bdb0483e92eb,Excel,b1670146-674a-4730-9e9d-d7d29ba52385,YES
aaeca9b5-5f6f-47ea-bc4e-feb7fba1c620,Excel,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
8987d841-c730-4e5f-9cb9-540c3d1f0c37,Excel import,b1670146-674a-4730-9e9d-d7d29ba52385,YES
efaa8c61-86ae-4431-9590-3b2bb2c6ff31,exceptions,b1670146-674a-4730-9e9d-d7d29ba52385,YES
f0fc4c80-a8c0-45e1-9705-b0367ab92a55,exclusive control,b1670146-674a-4730-9e9d-d7d29ba52385,YES
181c54c2-08ff-462c-acf6-6fdf7dba1adc,execution,b1670146-674a-4730-9e9d-d7d29ba52385,YES
55abd52e-0118-4488-8370-f0f8dc893c26,expectations,b1670146-674a-4730-9e9d-d7d29ba52385,YES
bfe95826-65ae-4a18-9900-7519c6d2d7dc,expectations & onboarding,b1670146-674a-4730-9e9d-d7d29ba52385,YES
073debfc-1425-4252-892f-e9cf1ad777dc,Expenses,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
583b73e6-aa6c-42c3-b61b-71f7337213e5,Experience,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
3c513332-4be0-4155-b6f0-0fae72c3bcae,Extreme Ownership,b1670146-674a-4730-9e9d-d7d29ba52385,YES
35a05baa-2124-4d33-8f27-02483c4e9141,extrinsic,b1670146-674a-4730-9e9d-d7d29ba52385,YES
df91d6a8-4b20-4d48-8f78-f147c1d07ce6,Fairness,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
588ca6b7-6414-40fb-9e97-27633f35fb82,fall arrest,b1670146-674a-4730-9e9d-d7d29ba52385,YES
f0618abe-8fd8-4f64-95ac-6b5547d415d7,fall protection,b1670146-674a-4730-9e9d-d7d29ba52385,YES
138e89d9-4592-404e-830a-4c4de8c6098c,falls,b1670146-674a-4730-9e9d-d7d29ba52385,YES
d8f86725-7e06-423b-94db-bb2166f3d418,Feedback,b1670146-674a-4730-9e9d-d7d29ba52385,YES
12f798b7-9ab3-4982-83ce-082c6bf12825,field data,b1670146-674a-4730-9e9d-d7d29ba52385,YES
eabb396f-cf75-4dd2-93a8-1be8d8a68ec5,Field Leadership,b1670146-674a-4730-9e9d-d7d29ba52385,YES
9868a141-ed67-4b2c-b57d-f484e00d23e5,file naming,b1670146-674a-4730-9e9d-d7d29ba52385,YES
2081100f-4097-4d51-9cdb-d565e2b6848d,Filing,6dec10c7-41f0-4bdc-8305-75171ac3de04,NO
df37db32-f848-4ca1-b767-93a46b15d909,finalize,b1670146-674a-4730-9e9d-d7d29ba52385,YES
