File Name
9.4.285 – Manage Client/Owner Communications
9.4.290 – Manage Subcontractor Communications
9.4.295 – Manage Vendor Supplier Communications
9.4.300 – Manage Architect/Engineer Communications
9.4.305 – Manage Regulatory/Authority Communications
9.4.310 – Manage General Contractor Communications
9.4.315 – Develop Project Schedule
9.4.320 – Update Project Schedule
9.4.325 – Monitor Schedule Performance
9.4.330 – Develop Schedule Recovery Plans
9.4.335 – Prepare Lookahead Schedules
9.4.340 – Manage Resource – Loaded Schedules
9.4.345 – Conduct Schedule Review Meetings
9.4.350 – Manage Schedule Change Requests
9.4.355 – Manage Project Scope
9.4.360 – Manage Change Orders
9.4.365 – Manage Potential Change Orders (PCOs)
9.4.370 – Manage Owner Directives
9.4.375 – Manage Scope Clarifications
9.4.380 – Manage Backcharges
9.4.385 – Manage Force Account Work
9.4.390 – Manage Claims
9.4.400 – Monitor Project Costs
9.4.405 – Manage Cost Forecasts
9.4.410 – Manage Cost Codes
9.4.415 – Manage Committed Costs
9.4.420 – Manage Actual Costs
9.4.425 – Manage Job Cost Reports
9.4.430 – Manage Profit Projections
9.4.435 – Manage Cost – to – Complete
9.4.440 – Prepare Billing Schedule
9.4.445 – Prepare Monthly Pay Applications
9.4.450 – Track Accounts Receivable
9.4.455 – Manage Lien Waivers
9.4.460 – Manage Retainage
9.4.465 – Manage Final Invoicing
9.4.475 – Conduct Safety Orientation
9.4.480 – Conduct Safety Inspections
9.4.485 – Conduct Safety Meetings
9.4.490 – Report Safety Incidents
9.4.495 – Investigate Accidents
9.4.500 – Conduct Emergency Preparedness
9.4.505 – Conduct Safety Compliance Audits
9.4.510 – Provide Safety Training
9.4.515 – Develop Quality Management Plan
9.4.520 – Conduct Quality Meetings
9.4.525 – Conduct Quality Inspections
9.4.530 – Manage Quality Testing
9.4.535 – Manage Nonconformance Reports (NCRs)
9.4.540 – Manage Quality Records
9.4.545 – Manage Punch List Quality
9.4.560 – Manage Manpower Allocation
9.4.565 – Manage Equipment Allocation
9.4.570 – Manage Material Allocation
9.4.575 – Manage Feeder Wire Release
9.4.560 – Manage Subcontractor Resources
9.4.580 – Manage Vendor Resources
9.4.585 – Plan Prefabrication Resources
9.4.590 – Manage Specialty Contractor Resources
9.4.595 – Prepare Resource Reports
9.4.605 – Issue Purchase Orders
9.4.610 – Manage Vendor Prequalification
9.4.615 – Manage Vendor Evaluations
9.4.620 – Manage Expediting
9.4.625 – Manage Delivery Tracking
9.4.630 – Manage Material Receiving
9.4.631 – Release of Large Feeder Wire
9.4.635 – Manage Material Inspection
9.4.640 – Manage Storage and Logistics
9.4.645 – Manage Material Handling
9.4.650 – Manage Inventory
9.4.655 – Prepare Procurement Reports
9.4.660 – Manage Procurement Closeout
9.4.665 – Reconcile Procurement Accounts
9.4.670 – Manage Vendor Closeout
9.4.675 – Conduct Daily Huddles
9.4.680 – Conduct Weekly Foreman Meetings
9.4.690 – Track Manpower Utilization
9.4.695 – Track Production Quantities
9.4.700 – Track Equipment Utilization
9.4.705 – Manage Work Packaging
9.4.710 – Manage Workface Planning
9.4.715 – Manage Field Coordination
9.4.720 – Conduct Productivity Analysis
9.4.725 – Resolve Field Problems
9.4.735 – Perform Field Quality Verifications
9.4.745 – Manage Field Rework
9.4.755 – Implement Field Productivity Improvements
9.5.015 – Conduct Commissioning Meetings
9.5.020 – Handling and or Disposing of Excess Materials
9.5.550 – Manage Commissioning Activities
9.6.005 – Prepare for Turnover (Field Perspective)
9.6.010 – Conduct Closeout Meetings
9.6.015 – Manage Project Turnover Documentation
9.6.020 – Manage Punch List Closeout
9.6.020 – Manage Punch Lists
9.6.030 – Manage As – Built Drawings
9.6.035 – Submit Warranties
9.6.040 – Submit O&M Manuals
9.6.050 – Manage Warranties
9.6.050 – Provide Owner Training
9.6.065 – Archive Project Documentation
9.6.060 – Manage Closeout Documentation
9.6.070 – Conduct Post – Project Review
9.6.080 – Capture Client Feedback
9.6.085 – Document Lessons Learned
